,Курс,Регион,Муниципалитет,Школа,user_id,Класс,Всего просмотров уроков,Из них онлайн,Из них в записи,Решал задач,Всего задач,Набрал баллов,Всего баллов
5289,755,Томская область,г Томск,SCHOOL-9510-EF07-035B,675121,7 класс,0,0,0,0,216,0.0,224
5290,755,Томская область,г Томск,SCHOOL-C9A0-46F5-26B5,675123,7 класс,48,0,48,100,216,72.92,224
5291,755,Томская область,г Томск,SCHOOL-B736-DD59-3467,675125,7 класс,0,0,0,0,216,0.0,224
5292,755,Томская область,г Стрежевой,SCHOOL-E784-829E-8461,675126,7 класс,8,4,4,0,216,0.0,224
5293,755,Томская область,г Томск,SCHOOL-B736-DD59-3467,675127,7 класс,0,0,0,0,216,0.0,224
5294,755,Томская область,г Томск,SCHOOL-B736-DD59-3467,675128,7 класс,0,0,0,0,216,0.0,224
5295,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675129,7 класс,0,0,0,0,216,0.0,224
5296,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675130,7 класс,8,0,8,0,216,0.0,224
5297,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675131,7 класс,88,0,88,196,216,120.0,224
5298,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675132,7 класс,96,0,96,216,216,200.0,224
5299,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675133,7 класс,0,0,0,0,216,0.0,224
5300,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675134,7 класс,0,0,0,0,216,0.0,224
5301,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675135,7 класс,0,0,0,0,216,0.0,224
5302,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675136,7 класс,0,0,0,0,216,0.0,224
5303,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675137,7 класс,20,0,20,196,216,174.4,224
5304,755,Томская область,г Томск,SCHOOL-B736-DD59-3467,675138,7 класс,0,0,0,0,216,0.0,224
5305,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675139,7 класс,116,4,112,216,216,156.92,224
5306,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675140,7 класс,0,0,0,0,216,0.0,224
5307,755,Томская область,г Томск,SCHOOL-6228-7EA7-C4E1,675141,7 класс,0,0,0,0,216,0.0,224
5308,755,Томская область,г Томск,SCHOOL-4DCE-4989-0FFE,675142,7 класс,0,0,0,0,216,0.0,224
5309,755,Томская область,Томский р-н,SCHOOL-CE4D-9F67-C30A,675143,7 класс,0,0,0,0,216,0.0,224
5310,755,Томская область,Томский р-н,SCHOOL-CE4D-9F67-C30A,675144,7 класс,16,0,16,40,216,28.0,224
5311,755,Томская область,Томский р-н,SCHOOL-CE4D-9F67-C30A,675146,7 класс,0,0,0,0,216,0.0,224
5312,755,Томская область,г Томск,SCHOOL-9510-EF07-035B,675147,7 класс,0,0,0,0,216,0.0,224
5313,755,Томская область,г Томск,SCHOOL-B736-DD59-3467,675148,7 класс,0,0,0,0,216,0.0,224
5314,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675150,7 класс,0,0,0,0,216,0.0,224
5315,755,Томская область,г Стрежевой,SCHOOL-5304-019E-65C9,675151,7 класс,0,0,0,0,216,0.0,224
5316,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675152,7 класс,16,0,16,20,216,19.32,224
5317,755,Томская область,г Томск,SCHOOL-392D-96A3-6D34,675153,7 класс,4,0,4,0,216,0.0,224
